input,decision
"I lack confidence during interviews. I also think immediate income may be necessary. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Skill Development First
"I lack confidence during interviews. I also think immediate income may be necessary. I want both stability and long-term growth. I want practical advice, not just motivation.",Skill Development First
"there is heavy loan pressure at home. I was planning for higher studies. Part of me thinks studies should remain the priority. I want practical advice, not just motivation.",Job First (Financial Stability)
"I am considering SSC preparation seriously. I am confused between placement and preparation. Some people suggest taking a job first. I want practical advice, not just motivation.",Government Exam Path
I am planning for MTech after graduation. I feel guilty not earning immediately. Some people suggest taking a job first. This affects both my confidence and future planning.,Higher Studies First
I lack confidence during interviews. I feel pressure seeing others move faster. Family expectations make the decision harder. I do not want to regret my decision later.,Skill Development First
I believe higher education will improve my future. my parents want quick financial stability. I feel stuck between responsibility and ambition. I do not want to regret my decision later.,Higher Studies First
"I want to work and prepare for CAT together. I want practical long-term balance. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Balanced Job + Study Plan
I want financial stability without giving up education. I want practical long-term balance. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Balanced Job + Study Plan
government job security matters to my family. some people suggest private placements first. Family expectations make the decision harder. This affects both my confidence and future planning.,Government Exam Path
I want to work and prepare for CAT together. family responsibilities and future growth both matter. I want both stability and long-term growth. This affects both my confidence and future planning.,Balanced Job + Study Plan
I want to work and prepare for CAT together. I think both goals are equally important. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Balanced Job + Study Plan
my communication skills need improvement. but my family wants me to get a job quickly. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Skill Development First
"I lack confidence during interviews. I feel pressure seeing others move faster. I want both stability and long-term growth. I want practical advice, not just motivation.",Skill Development First
I am planning for MTech after graduation. I worry about delaying income. Family expectations make the decision harder. I do not want to regret my decision later.,Higher Studies First
I believe higher education will improve my future. there is some financial pressure at home. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Higher Studies First
I am preparing for banking exams. some people suggest private placements first. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Government Exam Path
"my coding skills are weak for placements. I worry I am falling behind. Part of me thinks studies should remain the priority. I want practical advice, not just motivation.",Skill Development First
I am planning for MTech after graduation. I feel guilty not earning immediately. Family expectations make the decision harder. This affects both my confidence and future planning.,Higher Studies First
