input_text,target_label,target_output
"I am dealing with exam pressure, even with family financial pressure, and it is affecting my confidence",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing assignment deadlines, even with masters preparation, and I cannot decide what to do next",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with poor concentration, even with part time work with learning, which is disturbing my peace of mind",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of low grades, even with anxiety and confusion, and my family expects quick decisions",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is study routine problems, even with loan repayment stress, and I want a practical long term solution",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about academic stress, even with competitive exam plans, while I am worried about my future stability",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by lack of focus, even with financial stability with masters, and it is reducing my motivation every day",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle semester workload, even with emotional burnout, and I need better clarity before moving forward",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with project submission stress, even with family dependency, and it is affecting my confidence",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing preparation anxiety, even with study abroad plans, and I cannot decide what to do next",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with exam pressure, even with work and exam balance, which is disturbing my peace of mind",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of assignment deadlines, even with low confidence, and my family expects quick decisions",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is poor concentration, even with rent and living costs, and I want a practical long term solution",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about low grades, even with long term learning, while I am worried about my future stability",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by study routine problems, even with practical career planning, and it is reducing my motivation every day",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle academic stress, even with relationship stress, and I need better clarity before moving forward",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with lack of focus, even with supporting parents, and it is affecting my confidence",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing semester workload, even with advanced knowledge goals, and I cannot decide what to do next",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with project submission stress, even with short term work and long term study, which is disturbing my peace of mind",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
